id,DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasificac,porc_i.CSV,longitude,latitude
178,Oruro,Litoral,Esmeralda,40505,4,60,12,60,21,0,52,1,2,2,3,0,9,46,30,32,22,31,Bajo,33,-68.281,-18.844
179,Oruro,Poopo,Poopó,40601,7,55,20,59,41,36,64,2,1,29,3,15,9,43,35,39,30,47,Muy Alto,53,-66.969,-18.380
180,Oruro,Poopo,Pazña,40602,4,55,16,64,49,66,52,2,8,11,2,0,9,44,30,36,27,45,Muy Alto,51,-66.921,-18.599
181,Oruro,Poopo,Antequera,40603,5,69,42,53,58,35,16,13,10,50,4,0,14,41,29,35,28,41,Muy Alto,53,-66.826,-18.471
182,Oruro,Pantaleon Dalence,Huanuni,40701,4,59,26,60,51,0,15,0,0,0,2,0,14,43,33,37,29,43,Muy Bajo,31,-66.840,-18.288
183,Oruro,Pantaleon Dalence,Machacamarca,40702,5,58,24,59,42,58,52,6,21,1,1,0,12,44,24,34,27,43,Muy Alto,50,-67.021,-18.172
184,Oruro,Ladislao Cabrera,Salinas de Garci Mendoza,40801,7,53,14,66,15,35,72,0,0,0,2,0,6,44,36,38,28,45,Medio,42,-67.676,-19.638
185,Oruro,Ladislao Cabrera,Pampa Aullagas,40802,5,56,11,61,28,35,70,13,19,21,3,0,5,42,35,37,28,44,Muy Alto,52,-67.062,-19.197
186,Oruro,Sabaya,Sabaya,40901,5,54,29,65,25,58,14,4,3,5,2,0,8,45,30,35,22,44,Medio,38,-68.373,-19.016
187,Oruro,Sabaya,Coipasa,40902,4,62,25,61,70,0,0,1,0,16,2,0,4,43,19,34,29,45,Bajo,33,-68.278,-19.278
188,Oruro,Sabaya,Chipaya,40903,6,62,8,64,24,0,52,21,6,1,2,0,13,42,21,30,27,30,Medio,38,-68.089,-19.042
189,Oruro,Saucari,Toledo,41001,4,43,13,65,37,66,72,12,15,35,2,0,8,43,36,38,30,44,Muy Alto,60,-67.407,-18.182
190,Oruro,Tomas Barron,Eucaliptus,41101,5,60,12,54,44,65,14,5,19,4,4,0,4,44,31,35,24,41,Medio,42,-67.508,-17.597
191,Oruro,Sur Carangas,Andamarca,41201,5,69,16,57,28,35,70,0,0,0,2,0,11,43,30,36,28,42,Alto,45,-67.641,-18.817
192,Oruro,Sur Carangas,Belén de Andamarca,41202,5,66,21,63,26,58,72,39,22,18,3,15,8,42,36,38,31,42,Muy Alto,66,-67.508,-18.779
193,Oruro,San Pedro De Totora,Totora,41301,4,43,16,55,13,38,52,22,6,17,1,0,13,41,28,36,29,46,Alto,45,-68.146,-17.794
194,Oruro,Sebastian Pagador,Santiago de Huari,41401,4,48,13,64,38,0,52,0,10,0,2,0,8,42,34,37,26,46,Bajo,36,-66.777,-19.012
195,Oruro,Mejillones,La Rivera,41501,5,59,34,58,10,0,0,0,21,1,1,0,8,48,26,33,23,35,Muy Bajo,25,-68.640,-19.005
196,Oruro,Mejillones,Todos Santos,41502,3,43,13,51,5,0,0,0,0,0,3,0,11,44,27,34,21,45,Muy Bajo,17,-68.721,-19.015
197,Oruro,Mejillones,Carangas,41503,6,64,27,54,15,0,0,6,3,12,1,0,11,42,28,34,20,44,Muy Bajo,26,-68.624,-18.939
198,Oruro,Nor Carangas,Santiago de Huayllamarca,41601,4,48,17,55,24,35,14,31,6,2,2,0,8,43,34,38,29,47,Medio,37,-67.946,-17.841
199,Potosi,Tomas Frias,Potosí,50101,4,55,15,63,49,57,52,23,1,29,1,0,11,42,32,37,31,41,Muy Alto,56,-65.754,-19.581
200,Potosi,Tomas Frias,Tinquipaya,50102,4,45,13,60,37,0,51,16,16,15,1,0,11,43,33,37,29,45,Medio,43,-65.821,-19.222
201,Potosi,Tomas Frias,Yocalla,50103,4,33,6,61,43,35,51,9,1,7,3,0,7,41,31,36,31,41,Medio,42,-65.906,-19.391
202,Potosi,Tomas Frias,Urmiri,50104,3,41,12,63,36,35,70,17,7,17,2,0,8,41,36,39,33,45,Muy Alto,51,-66.064,-19.386
203,Potosi,Rafael Bustillo,Uncía,50201,3,42,12,58,36,35,13,0,8,1,1,0,14,42,34,37,28,45,Muy Bajo,32,-66.568,-18.466
204,Potosi,Rafael Bustillo,Chayanta,50202,6,63,14,60,55,0,13,8,0,0,1,0,12,45,34,39,33,46,Bajo,32,-66.442,-18.461
205,Potosi,Rafael Bustillo,Llallagua,50203,4,58,19,56,42,34,13,9,9,12,3,0,11,45,35,39,28,47,Medio,39,-66.583,-18.423
206,Potosi,Rafael Bustillo,Chuquihuta,50204,4,62,13,61,54,0,12,7,22,1,1,0,0,42,33,37,29,45,Bajo,34,-66.368,-18.592
207,Potosi,Cornelio Saavedra,Betanzos,50301,6,66,15,52,50,57,51,0,16,1,2,0,11,43,34,38,30,46,Alto,49,-65.453,-19.553
208,Potosi,Cornelio Saavedra,Chaquí,50302,4,63,26,56,55,34,12,37,31,2,3,0,11,42,34,37,34,40,Alto,49,-65.561,-19.588
209,Potosi,Cornelio Saavedra,Tacobamba,50303,4,45,8,53,46,0,12,51,49,1,1,0,10,42,37,38,29,44,Alto,44,-65.556,-19.207
210,Potosi,Chayanta,Colquechaca,50401,6,61,24,62,46,0,51,0,0,30,1,0,10,43,34,37,28,43,Alto,44,-66.002,-18.697
211,Potosi,Chayanta,Ravelo,50402,5,54,10,53,15,0,51,1,13,15,4,0,10,42,36,38,24,48,Bajo,36,-65.512,-18.807
212,Potosi,Chayanta,Pocoata,50403,5,55,16,57,41,0,11,1,2,21,3,0,10,42,33,37,27,47,Muy Bajo,31,-66.162,-18.700
213,Potosi,Chayanta,Ocurí,50404,5,56,17,61,41,0,11,0,0,0,1,0,10,43,36,38,28,43,Muy Bajo,27,-65.796,-18.842
214,Potosi,Charcas,San Pedro,50501,16,50,14,56,25,70,64,15,0,1,2,0,12,43,36,39,32,46,Muy Alto,51,-65.980,-18.270
215,Potosi,Charcas,Toro Toro,50502,7,43,8,58,45,34,11,3,3,6,1,4,9,43,34,37,27,43,Bajo,33,-65.761,-18.134
216,Potosi,Nor Chichas,Cotagaita,50601,5,61,19,58,46,34,64,0,0,3,1,0,10,46,30,38,30,45,Alto,47,-65.658,-20.816
217,Potosi,Nor Chichas,Vitiche,50602,4,35,7,59,11,34,11,3,11,4,3,0,12,45,36,39,33,43,Muy Bajo,28,-65.493,-20.208
218,Potosi,Alonso de Ibañez,Sacaca,50701,5,53,14,52,25,0,11,0,0,0,4,0,9,40,36,38,30,45,Muy Bajo,24,-66.384,-18.068
219,Potosi,Alonso de Ibañez,Caripuyo,50702,4,64,27,56,37,33,11,0,21,13,2,0,12,42,37,38,30,43,Medio,39,-66.473,-18.232
220,Potosi,Sur Chichas,Tupiza,50801,4,42,12,59,36,0,64,0,0,0,6,0,9,44,32,38,30,48,Bajo,37,-65.720,-21.441
221,Potosi,Sur Chichas,Atocha,50802,6,67,30,62,51,0,51,0,0,0,4,0,11,42,33,37,29,43,Medio,41,-66.219,-20.932
222,Potosi,Nor Lipez,"Colcha""K""",50901,6,62,39,71,54,70,72,1,2,3,1,0,7,42,30,35,25,44,Muy Alto,58,-67.660,-20.740
223,Potosi,Nor Lipez,San Pedro de Quemes,50902,4,50,28,64,14,57,72,0,1,2,2,0,8,44,36,38,28,44,Alto,47,-68.049,-20.747
224,Potosi,Sur Lipez,San Pablo de Lipez,51001,4,50,28,69,25,73,72,0,0,0,1,23,7,41,22,33,29,39,Muy Alto,53,-66.616,-21.686
225,Potosi,Sur Lipez,Mojinete,51002,5,57,17,62,29,0,11,30,2,6,3,0,17,46,19,38,36,50,Bajo,34,-66.241,-21.765
226,Potosi,Sur Lipez,San Antonio de Esmoruco,51003,3,53,14,60,25,70,70,6,20,18,2,23,9,44,27,36,29,43,Muy Alto,58,-66.517,-21.948
227,Potosi,Jose Maria Linares,Puna,51101,5,54,15,56,26,57,11,56,11,1,4,0,13,42,31,37,28,46,Alto,47,-65.506,-19.795
228,Potosi,Jose Maria Linares,"Caiza ""D""",51102,6,65,28,58,49,33,11,12,2,52,2,0,15,44,35,39,32,43,Alto,49,-65.654,-20.007
229,Potosi,Jose Maria Linares,Ckochas,51103,6,62,13,55,47,33,11,68,3,3,4,0,11,41,33,37,28,44,Alto,48,-65.275,-19.638
230,Potosi,Antonio Quijarro,Uyuni,51201,4,41,12,65,35,70,64,16,8,23,3,0,7,44,34,37,28,43,Muy Alto,56,-66.823,-20.460
231,Potosi,Antonio Quijarro,Tomave,51202,4,43,13,62,37,57,72,45,17,42,3,0,8,45,36,39,31,45,Muy Alto,67,-66.531,-20.065
232,Potosi,Antonio Quijarro,Porco,51203,5,55,10,64,59,33,70,82,4,17,2,0,11,42,33,38,30,46,Muy Alto,68,-65.989,-19.798
233,Potosi,General Bernardino Bilbao,Arampampa,51301,6,68,16,56,28,0,11,73,3,2,2,0,3,45,37,40,35,44,Medio,42,-66.080,-17.875
234,Potosi,General Bernardino Bilbao,Acasio,51302,6,10,16,56,18,0,11,18,3,44,4,0,5,43,36,38,29,43,Muy Bajo,31,-66.057,-18.024
235,Potosi,Daniel Campos,Llica,51401,5,58,34,62,30,33,72,10,1,1,3,0,7,43,27,37,32,46,Alto,49,-68.248,-19.852
236,Potosi,Daniel Campos,Tahua,51402,4,45,13,65,24,0,53,8,1,32,1,0,6,43,29,35,28,40,Medio,40,-67.693,-19.890
237,Potosi,Modesto Omiste,Villazón,51501,4,37,7,62,11,0,11,6,6,18,5,0,7,40,32,36,30,44,Muy Bajo,25,-65.597,-22.090
238,Potosi,Enrique Baldivieso,San Agustín,51601,5,53,9,60,25,33,72,42,2,0,1,0,12,40,30,35,29,39,Muy Alto,51,-67.678,-21.155
239,Tarija,Cercado,Tarija,60101,14,45,13,55,14,57,64,21,4,52,11,0,8,41,30,36,29,46,Muy Alto,57,-64.733,-21.532
240,Tarija,Arce,Padcaya,60201,18,56,17,52,18,65,64,4,14,7,10,0,7,43,27,35,25,44,Muy Alto,50,-64.709,-21.882
241,Tarija,Arce,Bermejo,60202,26,66,21,57,16,70,0,3,0,0,13,0,14,44,23,33,22,44,Bajo,36,-64.342,-22.733
242,Tarija,Gran Chaco,Yacuiba,60301,13,34,6,62,3,70,51,18,8,12,9,0,11,44,27,36,30,43,Alto,46,-63.677,-22.013
243,Tarija,Gran Chaco,Caraparí,60302,27,64,14,54,15,56,11,2,0,1,10,0,10,42,20,34,29,45,Bajo,34,-63.742,-21.828
244,Tarija,Gran Chaco,Villa Montes,60303,13,40,7,57,4,73,64,0,8,0,9,0,8,41,30,35,25,44,Alto,44,-63.475,-21.260
245,Tarija,Avilez,Uriondo,60401,11,41,7,50,13,33,64,0,0,0,8,0,6,42,26,36,32,46,Medio,37,-64.663,-21.697
246,Tarija,Avilez,Yunchara,60402,4,33,11,54,3,65,72,11,8,1,7,0,9,42,34,37,25,45,Alto,46,-65.230,-21.822
247,Tarija,Mendez,San Lorenzo,60501,13,51,9,56,6,56,64,0,0,0,6,0,11,44,32,36,27,43,Medio,42,-64.749,-21.415
248,Tarija,Mendez,El Puente,60502,24,60,17,68,22,33,64,64,13,27,18,0,15,41,33,37,27,46,Muy Alto,65,-65.206,-21.231
249,Tarija,Burnet O'Connor,Entre Ríos,60601,24,60,12,51,52,65,51,18,2,35,10,0,9,43,29,36,25,45,Muy Alto,59,-64.171,-21.527
250,Santa Cruz,Andres Ibañez,Santa Cruz de la Sierra,70101,8,48,12,76,6,70,10,0,0,0,4,0,24,37,28,34,29,43,Bajo,33,-63.179,-17.784
251,Santa Cruz,Andres Ibañez,Cotoca,70102,12,61,17,73,13,65,10,35,4,42,4,0,24,37,26,31,27,36,Muy Alto,50,-62.996,-17.754
252,Santa Cruz,Andres Ibañez,Ayacucho,70103,29,66,21,73,17,65,10,80,33,6,11,28,30,45,28,34,23,39,Muy Alto,65,-63.309,-17.852
253,Santa Cruz,Andres Ibañez,La Guardia,70104,16,59,11,74,10,55,51,0,0,0,8,35,28,41,35,37,29,45,Alto,48,-63.329,-17.893
254,Santa Cruz,Andres Ibañez,El Torno,70105,26,60,12,70,12,31,10,11,1,0,11,28,36,43,29,34,21,43,Medio,37,-63.382,-17.992
255,Santa Cruz,Warnes,Warnes,70201,7,35,9,70,3,55,10,6,27,10,12,0,27,44,29,35,28,41,Bajo,36,-63.164,-17.509
256,Santa Cruz,Warnes,Okinawa Uno,70202,8,56,15,75,9,70,51,9,7,14,10,0,24,43,29,32,22,33,Alto,49,-62.892,-17.218
257,Santa Cruz,Velasco,San Ignacio,70301,17,52,17,65,14,72,51,0,31,8,17,45,10,41,37,38,30,44,Muy Alto,57,-60.962,-16.375
258,Santa Cruz,Velasco,San Miguel,70302,13,50,9,74,14,70,0,11,15,3,9,22,0,42,35,37,26,46,Medio,39,-60.967,-16.698
259,Santa Cruz,Velasco,San Rafael,70303,12,49,9,70,6,72,10,9,14,8,11,33,0,40,22,32,22,45,Medio,41,-60.675,-16.787
260,Santa Cruz,Ichilo,Buena Vista,70401,27,65,20,74,16,65,11,40,3,3,15,21,37,41,32,35,22,43,Muy Alto,52,-63.660,-17.459
261,Santa Cruz,Ichilo,San Carlos,70402,15,52,12,71,7,65,11,0,4,2,17,21,40,43,36,38,30,45,Medio,39,-63.732,-17.406
